,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
619,ECLI:NL:RBOBR:2016:533,bmk,"['China', 'Germany', 'Netherlands']",N/A,N/A,precursor,undefined,"{'Germany': ['Frankfurt', 'Duitsland'], 'China': ['China']}",2016-11-02
620,ECLI:NL:RBOBR:2016:533,apaan,['Netherlands'],600,kg,precursor,kg,"{'Germany': ['Frankfurt', 'Duitsland'], 'China': ['China']}",2016-11-02
621,ECLI:NL:RBAMS:2013:3848,drugs,[],N/A,N/A,unspecified,undefined,"{'Poland': ['Góra', 'Polen'], 'France': ['Frankrijk', 'Straatsburg'], 'Italy': ['legem']}",2013-06-25
622,ECLI:NL:RBAMS:2013:3848,wiet,[],N/A,N/A,softdrugs,undefined,"{'Poland': ['Góra', 'Polen'], 'France': ['Frankrijk', 'Straatsburg'], 'Italy': ['legem']}",2013-06-25
623,ECLI:NL:RBAMS:2013:3852,drugs,[],N/A,N/A,unspecified,undefined,"{'Poland': ['Szczecin', 'Polen'], 'France': ['Straatsburg'], 'Italy': ['legem']}",2013-06-25
624,ECLI:NL:RBAMS:2013:3852,wiet,[],N/A,N/A,softdrugs,undefined,"{'Poland': ['Szczecin', 'Polen'], 'France': ['Straatsburg'], 'Italy': ['legem']}",2013-06-25
625,ECLI:NL:RBBRE:2006:AY3612,amfetamine,[],N/A,N/A,harddrugs,undefined,{'United States': ['Lith']},2006-06-20
626,ECLI:NL:RBBRE:2006:AY3612,drugs,[],N/A,N/A,unspecified,undefined,{'United States': ['Lith']},2006-06-20
627,ECLI:NL:RBBRE:2004:AR7632,xtc-pillen,"['Netherlands', 'United Kingdom']",N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Groot Brittannië', 'Groot-Brittannië', 'Engeland'], 'Belgium': ['Weelde', 'België', 'Ronse'], 'Canada': ['Canada'], 'Brazil': ['Brazilië']}",2004-12-17
628,ECLI:NL:RBBRE:2004:AR7632,mdma,"['Netherlands', 'United Kingdom']",N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Groot Brittannië', 'Groot-Brittannië', 'Engeland'], 'Belgium': ['Weelde', 'België', 'Ronse'], 'Canada': ['Canada'], 'Brazil': ['Brazilië']}",2004-12-17
629,ECLI:NL:RBBRE:2004:AR7632,pillen,"['Netherlands', 'United Kingdom']",N/A,N/A,unspecified,undefined,"{'United Kingdom': ['Groot Brittannië', 'Groot-Brittannië', 'Engeland'], 'Belgium': ['Weelde', 'België', 'Ronse'], 'Canada': ['Canada'], 'Brazil': ['Brazilië']}",2004-12-17
630,ECLI:NL:RBBRE:2004:AR7632,hennep,[],30,gram,softdrugs,gr,"{'United Kingdom': ['Groot Brittannië', 'Groot-Brittannië', 'Engeland'], 'Belgium': ['Weelde', 'België', 'Ronse'], 'Canada': ['Canada'], 'Brazil': ['Brazilië']}",2004-12-17
631,ECLI:NL:RBBRE:2004:AR7632,xtc,[],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Groot Brittannië', 'Groot-Brittannië', 'Engeland'], 'Belgium': ['Weelde', 'België', 'Ronse'], 'Canada': ['Canada'], 'Brazil': ['Brazilië']}",2004-12-17
632,ECLI:NL:RBBRE:2004:AR7632,amfetamine,[],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Groot Brittannië', 'Groot-Brittannië', 'Engeland'], 'Belgium': ['Weelde', 'België', 'Ronse'], 'Canada': ['Canada'], 'Brazil': ['Brazilië']}",2004-12-17
633,ECLI:NL:RBOBR:2021:4716,cocaïne,"['Netherlands', 'Belgium', 'Brazil', 'Denmark']",315,kilogram,harddrugs,kg,"{'Belgium': ['Antwerpen', 'België'], 'Bulgaria': ['Bulgarije'], 'United Kingdom': ['Exmoor'], 'Spain': ['Spanje'], 'Brazil': ['Brazilië'], 'United States': ['Lith'], 'Colombia': ['Colombia'], 'Guadeloupe': ['Pointe a Pitre', 'Guadeloupe'], 'Romania': ['Cugir'], 'France': ['Frankrijk']}",2021-06-09
634,ECLI:NL:PHR:2020:1224,drugs,['Germany'],N/A,N/A,unspecified,undefined,"{'Germany': ['Herzogenrath', 'Duitsland', 'Aken'], 'Belgium': ['België']}",2020-11-17
635,ECLI:NL:RBNNE:2016:3231,cocaïne,"['Belgium', 'Netherlands']",500,gram,harddrugs,gr,"{'Argentina': ['Argentinië', 'Argentina'], 'Colombia': ['Colombia'], 'Germany': ['Duitsland'], 'Chile': ['Chileen']}",2016-03-24
